Question,Answer,SMART Question,Advisor Answer
Administrator vs Broker vs Custodian for a Solo 401k?,"Their paperwork should help you along. Schwab is the broker and custodian, you are the administrator. Theres virtually no paperwork after the account is opened, until you hit 250K in value, and then theres one extra IRS form you need to fill out each year. See OneParticipant 401k Plans for a good IRS description of form 5500. Disclosure  I use the Schwab Solo 401k myself, and the only downsides, in my opinion, the dont offer a Roth flavor, and no loans are permitted. Both of these features would offer flexibility.","What are the roles and responsibilities of the administrator, broker, and custodian in managing a Solo 401(k), especially during account setup and IRS reporting?","As the administrator of a Solo 401(k), you're responsible for compliance and IRS reporting. The broker executes trades, and the custodian holds your assets. Schwab often acts as both. You only file Form 5500 once assets exceed $250K."
How to read a chart after a split?,"The share price on its own has little relevance without looking at variations. In your case, if the stock went from 2.80 to 0.33, you should care only about the 88 drop in value, not what it means in presplit dollar values. You are correct that you can ""unsplit"" to give you an idea of what would have been the dollar value but that should not give you any more information than the variation of 88 would. As for your title question, you should read the chart as if no split occurred as for most intents and purposes it should not affect stock price other than the obvious split.",How should I interpret a stock chart after a split to evaluate post-split price performance over time?,Read charts post-split as if the split always existed. Focus on percentage movements rather than raw values.
Is investing exlusively in a smallcap index fund a wise investment?,"Stock portfolios have diversifiable risk and undiversifiable risk. The market rewards investors for taking undiversifiable risk e.g. owning an index of oil producing companies and does not reward investors for assuming diversifiable risk e.g. owning a single oil producing company. The market will not provide investors with any extra return for owning a single oil company when they can buy an oil index fund at no additional cost. Similarly, the market will not reward you for owning a smallcap index fund when you can purchase a globally diversified  capitalization diversified index fund at no additional cost. This article provides a more detailed description. The Vanguard Total World Stock Index Fund is a much better staring point for an equity portfolio. You will need to make sure that the asset allocation of your overall portfolio e.g. stocks, bonds, P2P lending, cash is consistent with your time horizon 510 years.","Is it advisable to allocate 100% of an equity portfolio to a small-cap index fund over a 10-year period, and what risks does that entail?","While small-cap funds offer growth potential, they come with high volatility. For a 10-year horizon, blend them with global diversification."
"Does the uptick rule apply to all stocksETFs and other securities, or only specific ones?","The uptick rule is gone, but it was weakly reintroduced in 2010, applied to all publicly traded equities Under the terms of the rule, a circuit breaker would be triggered if a stock falls by 10 or more in a single day. At that point, short selling would only be allowed if the price is above the current national best bid, a restriction that would apply for the rest of the day and the whole of the following day. Derivatives are not yet restricted in such ways because of their spontaneous nature, requiring a short to increase supply however, this latest rule widens options spreads during collapses because the exemption for hedging is now gone, and whats more a tool used by options market makers, shorting the underlying to offset positive delta, now has to go to the back of the selling line during a panic. Bonds are not restricted because for one there isnt much interest in shorting because bonds usually dont have enough variance to exceed the cost of borrowing, and many do not trade frequently enough because even the cost to trade bonds is expensive, so arranging a short in its entirety will be expensive. The preferred method to short a bond is with swaps, swaptions, etc.","Which types of securities are subject to the modified uptick rule after a 10% daily drop, and how does it impact short selling?",This rule limits short selling after a 10% intraday drop in stocks or ETFs. It's not applicable to derivatives or bonds.
"If the U.S. defaults on its debt, what will happen to my bank money? ","You must mean the current debt ceiling debacle. The meaning of it is US government is constantly borrowing money by issuing treasury bonds and constantly repaying some of the bonds that come to maturity, and also has other obligations it has to meet by law all the time  such as Social Security checks, bonds interest, federal employees salaries and pensions, etc. By law, total amount of money that can be borrowed at the same time is capped. That means, there can be situation where the government needs to borrow money to pay, say, interest on existing bonds, but can not, since the limit is reached. Such situation is called a default, since the government promised to pay the interest, but is unable to do so. That does not mean the government has no money at all and will completely collapse or couldnt raise money on the market if it were permitted by law to do so currently, the market is completely willing to buy the debt issued by US government, and with interest that is not very high, though of course that may change. It also does not mean the economy ceases to function, dollars cease to have value or banks instantly go bankrupt. But if the government breaks its promises to investors, it has various consequences such as raising the costs of borrowing in the future. Breaking promises to other people  like Social Security recipients  would also look bad and probably hurt many of them. Going back to your bank account, most probably nothing would happen to the money you store there. Even if the bank had invested 100 of the money in US treasury bonds which doesnt really happen they still can be sold on the open market, even if with some discount in the event of credit rating downgrade, so most probably your account would not be affected. As stated in another answer, even if the fallout of all these calamities causes a bank to fail, theres FDIC and if your money is under insured maximums youll be getting your money back. But if your bank is one of the big ones, nothing of the sort would happen anyway  as we have seen in the past years, government would do practically anything to not allow any big bank failures.",What impact would a U.S. debt default have on personal bank accounts and financial markets in the short term?,"A default could shake markets, but your FDIC-insured bank deposits (up to $250K) would likely remain unaffected."
Co Signed car loan and need to have the other signer relinquish claim to ownership,"Your arrangements with the bank are irrelevant. Whoever is named on the title of the vehicle owns it. If she is the ""primary"", then I assume her name is on the title, therefore she owns the car. If you drive off with the car and it is titled in her name, she can report it stolen and have you arrested for grand theft auto unless you have a dated and signed permission in writing from her to use the car. Point 2 If a car loan was involved, then you didnt ""purchase"" the car, the bank did. If you want to gain ownership of the car, then you need to have her name removed from the title and have yours put in its place. Since the bank has possession of the title, this will require the cooperation of both your girlfriend and the bank.",What are the specific considerations and implications related to: Co Signed car loan and need to have the other signer relinquish claim to ownership?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
When can you use existing real estate as collateral to buy more?,"You put 20 down and already owe the 80 or 80k, so you dont have the ability to borrow 100k or even 20k for that matter. As LittleAdv stated, the banks have really tightened their lending criteria. Borrowing out more than 80 carries a high premium if you can get it at all. In your example, you want the property to increase in value by at least 10 to borrow 10K.",What are the specific considerations and implications related to: When can you use existing real estate as collateral to buy more?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Can I contribute to an IRA from investment income?,"Your contributions must come from ""compensation"". Quoting IRS Publication 590 on IRAs, ""Generally, compensation is what you earn from working."" So it is unlikely that your stock sale proceeds, if theyre your sole source of income, can be used to fund your IRA. If you do have W2 income, or self employment income, you can use the proceeds of a stock sale to fund an IRA. The IRS doesnt care where the exact dollars that go into the IRA come from, only that you earned from working at least as much as you contributed.",What are the specific considerations and implications related to: Can I contribute to an IRA from investment income?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Which field should I use for getting the income yield of this bond ETF?,"What you want is the distribution yield, which is 2.65. You can see the yield on FT as well, which is listed as 2.64. The difference between the 2 values is likely to be due to different dates of updates. httpfunds.ft.comukTearsheetSummary?sCORPLSEUSD",What are the specific considerations and implications related to: Which field should I use for getting the income yield of this bond ETF?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"How should I be contributing to my 401k, traditional or Roth?","Im of the opinion that it doesnt matter much unless something in your life changes in retirement. And since many retirement planners assume a default income target of 80 percent of preretirement income, I figure many peoples tax bracket isnt moving much. The most interesting reason I know to Go Roth in a 401k is limits. You can only contribute like 17k, whether Roth or not. In a traditional contribution, some of the 17k you put in goes to taxes when taken out, but in a Roth contribution you pay taxes up front. So if you have more than 17k to invest, Roth lets you sneak some more into the system.","What are the roles and responsibilities of the administrator, broker, and custodian in managing a Solo 401(k), especially during account setup and IRS reporting?","As the administrator of a Solo 401(k), you're responsible for compliance and IRS reporting. The broker executes trades, and the custodian holds your assets. Schwab often acts as both. You only file Form 5500 once assets exceed $250K."
Should we park our money in our escrow account?,"You should talk to a financial fiduciary make sure they are a fiduciary, not all planners are about investing your money. Even ultra safe investments such as treasury bonds will beat the 1 interest rate offered by your savings account the yield on the 5 year treasury is currently around 2.",What are the specific considerations and implications related to: Should we park our money in our escrow account?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Are stories of turning a few thousands into millions by trading stocks real?,"I made upwards of 3M from 200K by trading stocks, which I made from a business that I invested 20K in. HOWEVER, DO NOT use trading stocks as a source of income, youre gambling with your precious cash. There are safer alternatives.",What are the specific considerations and implications related to: Are stories of turning a few thousands into millions by trading stocks real?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
